Race	Background	Origine + lien avec Valombre	Raison de partir à l’aventure	Accroche d'histoire personnelle
Elfes	Archiviste sans poste	A travaillé comme lecteur, traducteur ou copiste indépendant sans être accepté par l’Université.	Il cherche un texte rare qui pourrait lui ouvrir les portes du Quartier du Savoir.	Le texte rare qu’il poursuit est attribué à un auteur mort avant la fondation de Valombre. Chaque fragment retrouvé contredit l’histoire officielle et attire un rival de l’Université.
Elfes	Enfant d’une communauté effacée	Sa famille elfe a vécu à Valombre avant d’être repoussée vers les quartiers pauvres.	Il veut retrouver les traces de cette communauté.	Une fresque murée révèle que sa communauté possédait autrefois un droit légal sur une partie de la Vieille Ville. Restaurer cette mémoire pourrait protéger les siens, mais réveillerait les familles qui ont profité de l’effacement.
Elfes	Contrebandier de médicaments	Transporte herbes, fioles et remèdes entre la Vieille Ville et les quartiers plus riches.	Un client important lui a laissé une dette ou une menace.	Le client qui le menace n’a jamais voulu des remèdes: il utilisait les livraisons pour cartographier les malades. Maintenant, une fiole vide retrouvée chez lui porte le nom d’un proche.
Elfes	Voyant des ruelles	Connu dans les bas-fonds pour des intuitions, rêves ou lectures étranges.	Ses visions deviennent trop précises pour être ignorées.	Ses visions annoncent un meurtre avec des détails impossibles, puis montrent ses propres mains tachées de sang. Il doit découvrir s’il voit l’avenir, un piège mental ou le souvenir de quelqu’un d’autre.
Elfes	Ancien serviteur des Hauteurs	A servi dans une maison noble ou marchande avant d’être renvoyé.	Il cherche à récupérer une preuve de son innocence.	La preuve de son innocence est enfermée dans la maison qui l’a renvoyé, mais un nouveau domestique y subit le même complot. Il peut se sauver seul ou exposer tout un réseau d’abus des Hauteurs.
Elfes	Orphelin du quartier malade	A grandi parmi les malades, les pauvres et les exclus de la Vieille Ville.	Il veut savoir pourquoi certains malades sont pris en charge et d’autres disparaissent.	Un registre médical classe certains pauvres comme “récupérables” et d’autres comme “perdus”. Son propre nom apparaît dans une ancienne page, accompagné d’une date qui n’est pas encore arrivée.
Elfes	Éclaireur des toits	Connaît les toits, passerelles et cours intérieures de la Vieille Ville.	Il a surpris un trajet nocturne impossible entre deux bâtiments.	Le trajet nocturne impossible mène à une passerelle invisible qui n’apparaît qu’à certaines heures. Quelqu’un l’utilise pour enlever des témoins sans jamais traverser les rues surveillées.
Demi-elfes	Enfant de deux quartiers	Né d’un parent humain et d’un parent elfe. Il a vécu entre le Centre Civique et la Vieille Ville sans appartenir pleinement à aucun.	Il veut choisir son propre camp.	Un conflit entre le Centre Civique et la Vieille Ville le force à servir d’intermédiaire. Les deux camps lui demandent la même chose: trahir l’autre avant que son double héritage ne devienne une accusation.
Demi-elfes	Apprenti refusé par l’Université	Possède un talent magique reconnu, mais pas les soutiens nécessaires pour intégrer durablement l’Université.	Il cherche un maître, un grimoire ou une preuve de sa valeur.	Un maître sans titre lui offre enfin un enseignement, mais chaque leçon ressemble à un vol de souvenirs. Pour gagner sa place, il doit déterminer ce que son mentor veut vraiment éveiller en lui.
Demi-elfes	Bâtard d’une famille des Hauteurs	Enfant non reconnu d’une maison marchande ou noble.	Il veut obtenir reconnaissance, héritage ou indépendance.	Un sceau familial authentique arrive entre ses mains avec une convocation à un héritage secret. S’il se présente, il devient une menace pour les héritiers légitimes; s’il refuse, quelqu’un d’autre prendra son nom.
Demi-elfes	Interprète de marchés	Travaille entre marchands, étrangers, nains et habitants des rues basses.	Il a entendu trop de versions contradictoires d’un même événement.	Les versions contradictoires qu’il a entendues sont toutes vraies, mais racontées depuis des moments différents. Un témoin lui demande de traduire une langue qu’il ne connaît pas encore.
Demi-elfes	Enfant d’un garde et d’une réfugiée elfe	A grandi près des postes de garde, mais connaît aussi la méfiance des bas-fonds.	Il veut retrouver la trace d’un parent disparu pendant une opération de maintien de l’ordre.	Le dossier de l’opération où son parent a disparu a été classé sous un faux numéro. En le cherchant, il découvre que plusieurs enfants mixtes ont été suivis depuis leur naissance.
Demi-elfes	Aide d’apothicaire	Travaille dans une boutique de remèdes, herbes ou fioles de la Vieille Ville.	Un remède vendu légalement a eu un effet impossible.	Le remède impossible a guéri une blessure ancienne, puis a déplacé la maladie sur quelqu’un d’autre. L’apothicaire lui demande de se taire, mais la prochaine victime frappe à la porte.
Demi-elfes	Faux noble	Se fait passer pour un petit noble ou un agent de maison afin de circuler entre quartiers.	Son mensonge commence à attirer de vrais ennemis.	Le nom qu’il a inventé appartient à une lignée officiellement éteinte. Des créanciers, des assassins et un notaire viennent maintenant réclamer des comptes au “dernier héritier”.
Demi-elfes	Contact de la Résistance	Il transmet parfois messages, nourriture ou médicaments entre la Vieille Ville et les quartiers surveillés.	Une livraison a mal tourné et il veut comprendre qui l’a trahi.	La livraison trahie contenait un message incomplet qui accuse un membre respecté de la Résistance. S’il suit la piste, il risque de prouver que son réseau est infiltré depuis le début.
Demi-elfes	Cartographe de fortune	Dessine des plans de rues, de caves et de passages pour les habitants qui veulent éviter la garde.	Ses cartes ne correspondent plus toujours à la ville réelle.	Ses cartes changent parce que certaines rues changent réellement de place après minuit. Une famille disparue lui laisse un plan annoté de sa propre main, daté de demain.
Demi-elfes	Survivant d’un rituel raté	A été entraîné jeune dans une pratique occulte de quartier, sans en comprendre la portée.	Des signes de ce rituel réapparaissent autour de lui.	Les signes du rituel réapparaissent sur les murs autour de ceux qui l’ont abandonné enfant. Chaque marque rapproche l’achèvement du rituel, et il semble en être la dernière pièce vivante.
